id,order_id,product_id,quantity,total,updated_at_x,created_at_x,name,price,status,date,time,weekday,hour
128,57,3,3,30,2025-05-06 06:22:15,2025-05-06 06:22:15,chaii,10,1,2025-05-06,06:22:15,Tuesday,6
129,58,3,15,150,2025-05-14 17:16:43,2025-05-14 17:16:43,chaii,10,1,2025-05-14,17:16:43,Wednesday,17
130,58,7,5,50,2025-05-14 17:16:43,2025-05-14 17:16:43,Chach,10,1,2025-05-14,17:16:43,Wednesday,17
131,58,8,1,60,2025-05-14 17:16:43,2025-05-14 17:16:43,Lunch normal,60,1,2025-05-14,17:16:43,Wednesday,17
132,58,9,5,75,2025-05-14 17:16:43,2025-05-14 17:16:43,Coffee,15,1,2025-05-14,17:16:43,Wednesday,17
133,58,10,3,105,2025-05-14 17:16:43,2025-05-14 17:16:43,Dahi balla,35,1,2025-05-14,17:16:43,Wednesday,17
134,58,15,2,80,2025-05-14 17:16:43,2025-05-14 17:16:43,Fruit,40,1,2025-05-14,17:16:43,Wednesday,17
135,59,3,6,60,2025-05-14 17:17:28,2025-05-14 17:17:28,chaii,10,1,2025-05-14,17:17:28,Wednesday,17
136,59,7,2,20,2025-05-14 17:17:28,2025-05-14 17:17:28,Chach,10,1,2025-05-14,17:17:28,Wednesday,17
137,59,15,1,40,2025-05-14 17:17:28,2025-05-14 17:17:28,Fruit,40,1,2025-05-14,17:17:28,Wednesday,17
138,60,23,1,35,2025-05-14 17:19:09,2025-05-14 17:19:09,Namkeen per plate,35,1,2025-05-14,17:19:09,Wednesday,17
139,61,22,3,60,2025-05-14 17:19:29,2025-05-14 17:19:29,Aam panna,20,1,2025-05-14,17:19:29,Wednesday,17
140,62,3,10,100,2025-05-15 15:28:33,2025-05-15 15:28:33,chaii,10,1,2025-05-15,15:28:33,Thursday,15
141,62,7,2,20,2025-05-15 15:28:33,2025-05-15 15:28:33,Chach,10,1,2025-05-15,15:28:33,Thursday,15
142,62,12,2,30,2025-05-15 15:28:33,2025-05-15 15:28:33,Bread pakoda,15,1,2025-05-15,15:28:33,Thursday,15
143,62,15,2,80,2025-05-15 15:28:33,2025-05-15 15:28:33,Fruit,40,1,2025-05-15,15:28:33,Thursday,15
144,62,24,2,50,2025-05-15 15:28:33,2025-05-15 15:28:33,Spourats,25,1,2025-05-15,15:28:33,Thursday,15
145,63,3,10,100,2025-05-15 15:29:23,2025-05-15 15:29:23,chaii,10,1,2025-05-15,15:29:23,Thursday,15
146,63,7,3,30,2025-05-15 15:29:23,2025-05-15 15:29:23,Chach,10,1,2025-05-15,15:29:23,Thursday,15
147,63,9,2,30,2025-05-15 15:29:23,2025-05-15 15:29:23,Coffee,15,1,2025-05-15,15:29:23,Thursday,15
148,63,24,2,50,2025-05-15 15:29:23,2025-05-15 15:29:23,Spourats,25,1,2025-05-15,15:29:23,Thursday,15
149,64,3,6,60,2025-05-15 15:41:54,2025-05-15 15:41:54,chaii,10,1,2025-05-15,15:41:54,Thursday,15
150,65,3,8,80,2025-05-16 17:00:12,2025-05-16 17:00:12,chaii,10,1,2025-05-16,17:00:12,Friday,17
151,65,7,2,20,2025-05-16 17:00:12,2025-05-16 17:00:12,Chach,10,1,2025-05-16,17:00:12,Friday,17
152,65,8,1,60,2025-05-16 17:00:12,2025-05-16 17:00:12,Lunch normal,60,1,2025-05-16,17:00:12,Friday,17
153,65,9,3,45,2025-05-16 17:00:12,2025-05-16 17:00:12,Coffee,15,1,2025-05-16,17:00:12,Friday,17
154,65,12,2,30,2025-05-16 17:00:12,2025-05-16 17:00:12,Bread pakoda,15,1,2025-05-16,17:00:12,Friday,17
155,65,15,2,80,2025-05-16 17:00:12,2025-05-16 17:00:12,Fruit,40,1,2025-05-16,17:00:12,Friday,17
156,66,3,10,100,2025-05-16 17:01:33,2025-05-16 17:01:33,chaii,10,1,2025-05-16,17:01:33,Friday,17
157,66,7,2,20,2025-05-16 17:01:33,2025-05-16 17:01:33,Chach,10,1,2025-05-16,17:01:33,Friday,17
158,66,12,1,15,2025-05-16 17:01:33,2025-05-16 17:01:33,Bread pakoda,15,1,2025-05-16,17:01:33,Friday,17
159,66,22,2,40,2025-05-16 17:01:33,2025-05-16 17:01:33,Aam panna,20,1,2025-05-16,17:01:33,Friday,17
160,67,27,2,20,2025-05-16 17:03:57,2025-05-16 17:03:57,Tulsi green tea,10,1,2025-05-16,17:03:57,Friday,17
161,68,26,1,60,2025-05-16 17:04:08,2025-05-16 17:04:08,Paneer pakoda per plate,60,1,2025-05-16,17:04:08,Friday,17
162,69,3,8,80,2025-05-17 15:57:17,2025-05-17 15:57:17,chaii,10,1,2025-05-17,15:57:17,Saturday,15
163,69,7,2,20,2025-05-17 15:57:17,2025-05-17 15:57:17,Chach,10,1,2025-05-17,15:57:17,Saturday,15
164,69,8,1,60,2025-05-17 15:57:17,2025-05-17 15:57:17,Lunch normal,60,1,2025-05-17,15:57:17,Saturday,15
165,69,9,2,30,2025-05-17 15:57:17,2025-05-17 15:57:17,Coffee,15,1,2025-05-17,15:57:17,Saturday,15
166,69,15,2,80,2025-05-17 15:57:17,2025-05-17 15:57:17,Fruit,40,1,2025-05-17,15:57:17,Saturday,15
167,69,17,1,35,2025-05-17 15:57:17,2025-05-17 15:57:17,Idli / sambar bada,35,1,2025-05-17,15:57:17,Saturday,15
168,69,27,1,10,2025-05-17 15:57:17,2025-05-17 15:57:17,Tulsi green tea,10,1,2025-05-17,15:57:17,Saturday,15
169,70,3,8,80,2025-05-17 15:57:18,2025-05-17 15:57:18,chaii,10,1,2025-05-17,15:57:18,Saturday,15
170,70,7,2,20,2025-05-17 15:57:18,2025-05-17 15:57:18,Chach,10,1,2025-05-17,15:57:18,Saturday,15
171,70,8,1,60,2025-05-17 15:57:18,2025-05-17 15:57:18,Lunch normal,60,1,2025-05-17,15:57:18,Saturday,15
172,70,9,2,30,2025-05-17 15:57:18,2025-05-17 15:57:18,Coffee,15,1,2025-05-17,15:57:18,Saturday,15
173,70,15,2,80,2025-05-17 15:57:18,2025-05-17 15:57:18,Fruit,40,1,2025-05-17,15:57:18,Saturday,15
174,70,17,1,35,2025-05-17 15:57:18,2025-05-17 15:57:18,Idli / sambar bada,35,1,2025-05-17,15:57:18,Saturday,15
175,70,27,1,10,2025-05-17 15:57:18,2025-05-17 15:57:18,Tulsi green tea,10,1,2025-05-17,15:57:18,Saturday,15
